               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085684,            0.041777,            0.039328,             0.48489,             0.21527,            0.075936,            0.020493,            0.069293,             0.03647,            0.018136,            0.070108,           0.0033214,           0.0033214
                   1,             0.06982,            0.036989,            0.015572,              0.4919,             0.23619,             0.13364,            0.040789,            0.065583,            0.035997,            0.014854,            0.040025,           0.0065724,           0.0065724
                   2,            0.066236,            0.035929,            0.011852,             0.55756,             0.18148,             0.11561,            0.035877,            0.065112,            0.038182,            0.021605,           0.0098603,           0.0097408,           0.0097408
                   3,            0.062601,            0.035645,             0.01073,             0.61981,             0.14488,             0.14316,            0.042176,            0.067224,            0.041257,            0.023932,           0.0096288,           0.0096288,           0.0096288
                   4,             0.06089,            0.035942,           0.0096044,             0.42275,             0.25313,             0.18283,            0.058119,            0.064558,            0.037224,            0.012366,           0.0096288,           0.0096288,           0.0096288
                   5,            0.059386,             0.03577,           0.0086549,             0.32687,             0.32455,             0.20865,            0.067281,            0.060353,            0.037646,            0.014026,            0.009505,            0.009505,            0.009505
                   6,             0.05822,            0.034992,           0.0076277,             0.39176,             0.33404,             0.26785,            0.092232,            0.059426,            0.034908,            0.010102,           0.0093813,           0.0093813,           0.0093813
                   7,            0.057088,            0.035028,           0.0072275,             0.34553,             0.32671,             0.28365,            0.089566,            0.059991,            0.035036,           0.0097802,           0.0092575,           0.0092575,           0.0092575
                   8,            0.056443,            0.034225,           0.0063931,             0.32574,             0.35377,             0.27893,            0.094408,            0.058133,            0.034399,           0.0097818,           0.0091337,           0.0091337,           0.0091337
                   9,            0.055678,            0.034353,           0.0059943,             0.41558,             0.35707,             0.33364,             0.10691,            0.057315,            0.034252,           0.0093489,             0.00901,             0.00901,             0.00901
                  10,            0.055009,            0.033807,           0.0058244,             0.43076,             0.36083,             0.30787,             0.10332,            0.058423,            0.034624,            0.010184,           0.0088863,           0.0088863,           0.0088863
                  11,            0.054513,            0.034027,           0.0057834,             0.43507,             0.32661,             0.30732,            0.099302,            0.057334,            0.034627,           0.0088196,           0.0087625,           0.0087625,           0.0087625
                  12,            0.054068,            0.033557,           0.0051488,             0.38946,             0.43216,             0.32438,            0.097812,            0.057718,            0.034396,           0.0082492,           0.0086388,           0.0086388,           0.0086388
                  13,            0.053449,            0.032841,           0.0046173,             0.41122,             0.35954,             0.30061,             0.10001,            0.058287,            0.035812,            0.010066,            0.008515,            0.008515,            0.008515
                  14,            0.052742,            0.032905,           0.0044376,             0.41111,             0.36975,             0.31128,            0.097788,            0.058791,             0.03529,           0.0089437,           0.0083913,           0.0083913,           0.0083913
                  15,            0.052448,            0.032379,           0.0045802,             0.44925,             0.39441,             0.35188,             0.12023,            0.058032,            0.034788,           0.0084231,           0.0082675,           0.0082675,           0.0082675
                  16,            0.052053,            0.032549,           0.0042483,              0.4394,             0.39545,             0.34993,             0.12196,            0.056799,            0.033993,           0.0083014,           0.0081437,           0.0081437,           0.0081437
                  17,            0.051425,             0.03216,           0.0039206,             0.46452,             0.38506,             0.36668,             0.12292,            0.057052,            0.034165,           0.0087603,             0.00802,             0.00802,             0.00802
                  18,            0.051272,            0.032338,           0.0040646,             0.34608,              0.4028,              0.3159,             0.10366,            0.059329,            0.034617,           0.0085198,           0.0078963,           0.0078963,           0.0078963
                  19,            0.050642,            0.031499,           0.0036787,             0.42805,             0.41571,             0.35131,             0.11665,            0.058133,            0.035064,           0.0080613,           0.0077725,           0.0077725,           0.0077725
                  20,            0.050343,            0.031559,           0.0033826,             0.43792,             0.36811,             0.32087,             0.10523,            0.060127,            0.036013,           0.0092498,           0.0076488,           0.0076488,           0.0076488
                  21,            0.049723,            0.031039,            0.003169,             0.47054,             0.41645,              0.3516,              0.1137,             0.05731,            0.034688,           0.0083554,            0.007525,            0.007525,            0.007525
                  22,            0.049452,            0.030423,           0.0030275,              0.4271,             0.42329,             0.35454,             0.12559,             0.05753,            0.034652,           0.0086239,           0.0074013,           0.0074013,           0.0074013
                  23,            0.048902,            0.030861,            0.003224,             0.44847,             0.41738,             0.37314,             0.13179,            0.057064,             0.03469,           0.0083481,           0.0072775,           0.0072775,           0.0072775
                  24,            0.048524,            0.030045,           0.0028353,             0.43935,             0.37069,             0.34483,             0.11914,            0.058962,            0.035342,           0.0089717,           0.0071538,           0.0071538,           0.0071538
                  25,            0.048315,            0.030192,           0.0027764,             0.43355,             0.42008,             0.37079,             0.12649,             0.05769,            0.035659,           0.0086073,             0.00703,             0.00703,             0.00703
                  26,            0.047695,             0.02988,           0.0026318,             0.46687,             0.41174,             0.37136,              0.1258,             0.05738,             0.03564,           0.0087569,           0.0069063,           0.0069063,           0.0069063
                  27,            0.047178,            0.029539,           0.0026403,             0.51065,             0.38374,              0.3871,              0.1317,             0.05776,            0.036005,           0.0091803,           0.0067825,           0.0067825,           0.0067825
                  28,            0.046916,            0.029565,           0.0023317,             0.49678,             0.42069,             0.38955,             0.13846,            0.057923,            0.035222,           0.0084968,           0.0066587,           0.0066587,           0.0066587
                  29,            0.046429,            0.029572,           0.0023567,             0.45811,             0.38689,             0.34972,             0.12298,            0.057182,            0.035571,           0.0084752,            0.006535,            0.006535,            0.006535
                  30,            0.045948,            0.028898,           0.0022223,             0.41451,             0.40112,              0.3407,             0.11158,            0.059116,            0.036068,           0.0090174,           0.0064112,           0.0064112,           0.0064112
                  31,            0.045681,            0.029117,           0.0022735,             0.46668,             0.38847,             0.35551,             0.12249,            0.057443,            0.036252,           0.0097118,           0.0062875,           0.0062875,           0.0062875
                  32,            0.045397,            0.029165,           0.0022357,             0.46909,             0.42194,             0.36418,             0.12256,            0.058212,            0.036425,           0.0090453,           0.0061637,           0.0061637,           0.0061637
                  33,            0.044724,             0.02829,           0.0021153,             0.48245,             0.38173,             0.35406,             0.11545,             0.05933,             0.03789,           0.0092675,             0.00604,             0.00604,             0.00604
                  34,            0.044229,            0.027526,           0.0019129,             0.47246,              0.3702,             0.33321,             0.12087,            0.059172,            0.037135,           0.0094518,           0.0059163,           0.0059163,           0.0059163
                  35,            0.043941,            0.027403,            0.002037,             0.43948,             0.36316,             0.32065,             0.10848,            0.060167,            0.038079,             0.00886,           0.0057925,           0.0057925,           0.0057925
                  36,            0.043739,             0.02754,           0.0020805,             0.43387,             0.41769,             0.35199,             0.12191,            0.058237,            0.036483,           0.0084452,           0.0056688,           0.0056688,           0.0056688
                  37,            0.043209,            0.026665,           0.0017799,             0.47378,             0.39026,             0.34944,             0.11738,            0.059287,            0.037232,           0.0086698,            0.005545,            0.005545,            0.005545
                  38,            0.042885,            0.026842,           0.0017993,             0.53247,             0.34762,             0.34454,             0.12025,            0.059877,            0.037838,           0.0088176,           0.0054212,           0.0054212,           0.0054212
                  39,             0.04241,            0.026493,           0.0016564,             0.46442,             0.41312,             0.34773,             0.12394,            0.058719,            0.037438,           0.0096503,           0.0052975,           0.0052975,           0.0052975
                  40,            0.042179,            0.026354,           0.0016696,             0.44754,             0.42771,             0.35278,             0.11999,            0.060156,            0.038098,           0.0090905,           0.0051737,           0.0051737,           0.0051737
                  41,            0.041638,            0.026524,           0.0016337,             0.53491,             0.37681,              0.3531,             0.11591,            0.060069,            0.037922,           0.0086531,             0.00505,             0.00505,             0.00505
                  42,            0.041115,            0.026283,           0.0014911,             0.55623,             0.39217,             0.36752,              0.1259,            0.059532,            0.039006,           0.0088798,           0.0049263,           0.0049263,           0.0049263
                  43,            0.040692,            0.025352,           0.0014311,             0.50269,             0.40296,             0.35896,             0.12765,             0.05878,            0.038432,           0.0091955,           0.0048025,           0.0048025,           0.0048025
                  44,            0.040497,            0.025605,           0.0014742,             0.50371,             0.40707,             0.36694,             0.12374,            0.059138,            0.038496,           0.0090455,           0.0046788,           0.0046788,           0.0046788
                  45,            0.039941,            0.025269,            0.001326,             0.51711,              0.3716,              0.3549,             0.12512,            0.058901,            0.039478,           0.0093653,            0.004555,            0.004555,            0.004555
                  46,            0.039566,            0.025146,           0.0014351,             0.48802,             0.42036,             0.36209,             0.12101,            0.059474,            0.039091,           0.0093033,           0.0044313,           0.0044313,           0.0044313
                  47,              0.0391,            0.024504,            0.001396,             0.51743,             0.36944,             0.35157,             0.12033,            0.059244,            0.039848,           0.0092999,           0.0043075,           0.0043075,           0.0043075
                  48,             0.03864,            0.024514,           0.0013717,             0.55386,             0.37503,             0.36106,             0.12557,            0.058769,            0.040078,           0.0094371,           0.0041837,           0.0041837,           0.0041837
                  49,            0.038308,            0.023958,           0.0012147,             0.54115,             0.36757,             0.35438,              0.1202,            0.059084,            0.040625,           0.0095426,             0.00406,             0.00406,             0.00406
                  50,            0.037757,            0.024157,           0.0012831,             0.52884,             0.39292,             0.35032,             0.12458,            0.059463,            0.041091,           0.0095846,           0.0039362,           0.0039362,           0.0039362
                  51,            0.037514,            0.023621,           0.0012369,             0.50525,             0.40162,             0.35391,             0.12183,            0.059912,            0.040817,           0.0092005,           0.0038125,           0.0038125,           0.0038125
                  52,            0.037011,            0.023542,           0.0012479,             0.49054,             0.41154,             0.35302,             0.12436,            0.059952,            0.041297,           0.0097122,           0.0036888,           0.0036888,           0.0036888
                  53,            0.036643,            0.023245,           0.0011702,             0.52256,             0.39478,             0.36323,             0.12086,            0.059884,             0.04145,           0.0095983,            0.003565,            0.003565,            0.003565
                  54,            0.036263,            0.023128,           0.0011498,             0.52433,             0.37141,             0.34138,              0.1211,            0.059724,            0.043015,           0.0092007,           0.0034413,           0.0034413,           0.0034413
                  55,            0.035969,            0.023176,           0.0011284,             0.48743,             0.40489,             0.35217,             0.12559,            0.059439,            0.042007,            0.009226,           0.0033175,           0.0033175,           0.0033175
